,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,units_of_measure_code,sample_duration,sample_duration_code,sample_frequency,detection_limit,uncertainty,qualifier,method_type,method,method_code,state,county,date_of_last_change,cbsa_code
0,08,059,0014,44201,1,39.620408,-105.33872,WGS84,Ozone,2021-05-13,00:00,2021-05-13,07:00,0.021,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Jefferson,2021-08-16,19740
1,08,059,0011,44201,1,39.743724,-105.177989,WGS84,Ozone,2021-05-13,00:00,2021-05-13,07:00,0.039,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Jefferson,2021-08-16,19740
2,08,059,0006,44201,1,39.912799,-105.188587,WGS84,Ozone,2021-05-13,00:00,2021-05-13,07:00,0.041,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Jefferson,2021-08-16,19740
3,08,013,0014,44201,1,40.070016,-105.220238,NAD83,Ozone,2021-05-13,00:00,2021-05-13,07:00,0.025,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Boulder,2021-08-16,14500
4,08,047,0003,44201,1,39.792519,-105.49127,NAD83,Ozone,2021-05-13,00:00,2021-05-13,07:00,0.042,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Gilpin,2021-08-16,19740
5,08,035,0004,44201,1,39.534488,-105.070358,WGS84,Ozone,2021-05-13,00:00,2021-05-13,07:00,0.034,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Douglas,2021-08-16,19740
6,08,031,0026,44201,1,39.77949,-105.00518,WGS84,Ozone,2021-05-13,00:00,2021-05-13,07:00,0.023,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Denver,2021-08-16,19740
7,08,031,0002,44201,6,39.751184,-104.987625,WGS84,Ozone,2021-05-13,00:00,2021-05-13,07:00,0.022,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Denver,2021-08-16,19740
8,08,005,0006,44201,1,39.638522,-104.569335,WGS84,Ozone,2021-05-13,00:00,2021-05-13,07:00,0.031,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Arapahoe,2021-08-16,19740
9,08,005,0002,44201,1,39.567887,-104.957193,WGS84,Ozone,2021-05-13,00:00,2021-05-13,07:00,,Parts per million,007,1 HOUR,1,HOURLY,0.005,,AY - Q C Control Points (zero/span).,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Arapahoe,2021-08-16,19740
10,08,001,3001,44201,2,39.838119,-104.94984,WGS84,Ozone,2021-05-13,00:00,2021-05-13,07:00,0.019,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Adams,2021-08-16,19740
11,08,059,0014,44201,1,39.620408,-105.33872,WGS84,Ozone,2021-05-13,01:00,2021-05-13,08:00,0.02,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Jefferson,2021-08-16,19740
12,08,059,0011,44201,1,39.743724,-105.177989,WGS84,Ozone,2021-05-13,01:00,2021-05-13,08:00,0.039,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Jefferson,2021-08-16,19740
13,08,059,0006,44201,1,39.912799,-105.188587,WGS84,Ozone,2021-05-13,01:00,2021-05-13,08:00,0.035,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Jefferson,2021-08-16,19740
14,08,013,0014,44201,1,40.070016,-105.220238,NAD83,Ozone,2021-05-13,01:00,2021-05-13,08:00,0.023,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Boulder,2021-08-16,14500
15,08,047,0003,44201,1,39.792519,-105.49127,NAD83,Ozone,2021-05-13,01:00,2021-05-13,08:00,0.043,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Gilpin,2021-08-16,19740
16,08,035,0004,44201,1,39.534488,-105.070358,WGS84,Ozone,2021-05-13,01:00,2021-05-13,08:00,0.033,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Douglas,2021-08-16,19740
17,08,031,0026,44201,1,39.77949,-105.00518,WGS84,Ozone,2021-05-13,01:00,2021-05-13,08:00,0.024,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Denver,2021-08-16,19740
18,08,031,0002,44201,6,39.751184,-104.987625,WGS84,Ozone,2021-05-13,01:00,2021-05-13,08:00,0.02,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Denver,2021-08-16,19740
19,08,005,0006,44201,1,39.638522,-104.569335,WGS84,Ozone,2021-05-13,01:00,2021-05-13,08:00,0.029,Parts per million,007,1 HOUR,1,HOURLY,0.005,,,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,Colorado,Arapahoe,2021-08-16,19740
