OID_,Field1,state_code,county_cod,site_numbe,parameter_,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_mea,units_of_m,units_of_1,sample_dur,sample_d_1,sample_fre,detection_,uncertaint,qualifier,method_typ,method,method_cod,state,county,date_of_la,cbsa_code,LULC,averageTra,clipDEM1km,STATION
13,13,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,13:00,7/1/2021 0:00,20:00,0.046,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
14,14,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,14:00,7/1/2021 0:00,21:00,0.05,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
15,15,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,15:00,7/1/2021 0:00,22:00,0.041,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
16,16,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,16:00,7/1/2021 0:00,23:00,0.045,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
17,17,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,17:00,7/2/2021 0:00,0:00,0.043,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
18,18,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,18:00,7/2/2021 0:00,1:00,0.035,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
19,19,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,19:00,7/2/2021 0:00,2:00,0.027,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
20,20,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,20:00,7/2/2021 0:00,3:00,0.02,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
21,21,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,21:00,7/2/2021 0:00,4:00,0.02,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
22,22,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,22:00,7/2/2021 0:00,5:00,0.012,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
23,23,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,23:00,7/2/2021 0:00,6:00,0.011,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
24,24,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,0:00,7/2/2021 0:00,7:00,0.013,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
25,25,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,1:00,7/2/2021 0:00,8:00,0.011,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
26,26,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,2:00,7/2/2021 0:00,9:00,0.01,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
27,27,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,3:00,7/2/2021 0:00,10:00,0.012,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
28,28,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,4:00,7/2/2021 0:00,11:00,0.011,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
29,29,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,5:00,7/2/2021 0:00,12:00,0.009,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
30,30,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,6:00,7/2/2021 0:00,13:00,0.012,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
31,31,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,7:00,7/2/2021 0:00,14:00,0.025,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
32,32,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,8:00,7/2/2021 0:00,15:00,0.031,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
33,33,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,9:00,7/2/2021 0:00,16:00,0.037,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
34,34,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,10:00,7/2/2021 0:00,17:00,0.046,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
35,35,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,11:00,7/2/2021 0:00,18:00,0.049,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
36,36,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,12:00,7/2/2021 0:00,19:00,0.051,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
37,37,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,13:00,7/2/2021 0:00,20:00,0.053,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
38,38,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,14:00,7/2/2021 0:00,21:00,0.054,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
39,39,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,15:00,7/2/2021 0:00,22:00,0.06,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
40,40,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,16:00,7/2/2021 0:00,23:00,0.045,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
41,41,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,17:00,7/3/2021 0:00,0:00,0.043,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
42,42,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,18:00,7/3/2021 0:00,1:00,0.043,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
43,43,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,19:00,7/3/2021 0:00,2:00,0.036,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
44,44,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,20:00,7/3/2021 0:00,3:00,0.024,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
45,45,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,21:00,7/3/2021 0:00,4:00,0.022,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
46,46,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,22:00,7/3/2021 0:00,5:00,0.02,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
47,47,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/2/2021 0:00,23:00,7/3/2021 0:00,6:00,0.019,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
48,48,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,0:00,7/3/2021 0:00,7:00,0.021,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
49,49,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,1:00,7/3/2021 0:00,8:00,0.02,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
50,50,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,2:00,7/3/2021 0:00,9:00,0.015,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
51,51,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,3:00,7/3/2021 0:00,10:00,0.021,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
52,52,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,4:00,7/3/2021 0:00,11:00,0.022,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
53,53,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,5:00,7/3/2021 0:00,12:00,0.02,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
54,54,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,6:00,7/3/2021 0:00,13:00,0.024,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
55,55,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,7:00,7/3/2021 0:00,14:00,0.032,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
56,56,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,8:00,7/3/2021 0:00,15:00,0.044,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
57,57,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,9:00,7/3/2021 0:00,16:00,0.057,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
58,58,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,10:00,7/3/2021 0:00,17:00,0.054,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
59,59,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,11:00,7/3/2021 0:00,18:00,0.053,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
60,60,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,12:00,7/3/2021 0:00,19:00,0.054,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
61,61,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,13:00,7/3/2021 0:00,20:00,0.053,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
62,62,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,14:00,7/3/2021 0:00,21:00,0.06,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
63,63,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,15:00,7/3/2021 0:00,22:00,0.061,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
64,64,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,16:00,7/3/2021 0:00,23:00,0.051,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
65,65,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,17:00,7/4/2021 0:00,0:00,0.054,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
66,66,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,18:00,7/4/2021 0:00,1:00,0.037,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
67,67,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,19:00,7/4/2021 0:00,2:00,0.029,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
68,68,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,20:00,7/4/2021 0:00,3:00,0.024,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
69,69,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,21:00,7/4/2021 0:00,4:00,0.026,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
70,70,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,22:00,7/4/2021 0:00,5:00,0.031,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
71,71,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/3/2021 0:00,23:00,7/4/2021 0:00,6:00,0.029,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
72,72,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/4/2021 0:00,0:00,7/4/2021 0:00,7:00,0.025,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
73,73,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/4/2021 0:00,1:00,7/4/2021 0:00,8:00,0.023,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
74,74,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/4/2021 0:00,2:00,7/4/2021 0:00,9:00,0.017,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
75,75,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/4/2021 0:00,3:00,7/4/2021 0:00,10:00,0.024,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
76,76,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/4/2021 0:00,4:00,7/4/2021 0:00,11:00,0.025,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
77,77,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/4/2021 0:00,5:00,7/4/2021 0:00,12:00,0.02,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
