OID_,Field1,state_code,county_cod,site_numbe,parameter_,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_mea,units_of_m,units_of_1,sample_dur,sample_d_1,sample_fre,detection_,uncertaint,qualifier,method_typ,method,method_cod,state,county,date_of_la,cbsa_code,LULC,averageTra,clipDEM1km,STATION
0,0,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,0:00,7/1/2021 0:00,7:00,0.019,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
1,1,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,1:00,7/1/2021 0:00,8:00,0.018,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
2,2,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,2:00,7/1/2021 0:00,9:00,0.013,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
3,3,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,3:00,7/1/2021 0:00,10:00,0.019,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
4,4,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,4:00,7/1/2021 0:00,11:00,0.018,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
5,5,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,5:00,7/1/2021 0:00,12:00,0.019,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
6,6,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,6:00,7/1/2021 0:00,13:00,0.022,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
7,7,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,7:00,7/1/2021 0:00,14:00,0.03,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
8,8,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,8:00,7/1/2021 0:00,15:00,0.037,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
9,9,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,9:00,7/1/2021 0:00,16:00,0.043,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
10,10,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,10:00,7/1/2021 0:00,17:00,0.049,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
11,11,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,11:00,7/1/2021 0:00,18:00,0.05,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
12,12,8,59,14,44201,1,39.620408,-105.33872,WGS84,Ozone,7/1/2021 0:00,12:00,7/1/2021 0:00,19:00,0.044,Parts per million,7,1 HOUR,1,HOURLY,0.005, , ,FEM,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,87,Colorado,Jefferson,9/16/2021 0:00,19740,1,11666,2234,72469903065
